Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),127.51,30.03,404.07,1305729.68,45.92,55.60,62.58,77.11,104.34,162.39,232.51,268.90,336.05,68.03
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,228.42,11.00,2959.00,2338978.00,21.00,25.00,27.00,30.00,75.00,227.00,596.10,1021.05,2114.10,394.32
HTTP Chunks Sent,1.00,1.00,1.00,10240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,2.76,68.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
HTTP Connection Overhead (ms),0.01,0.00,4.51,105.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19
HTTP Connection Reused (ratio),1.00,0.00,1.00,10199.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),56.39,3.10,722.80,577404.74,5.49,6.46,6.95,7.67,18.73,55.97,146.96,251.11,519.23,96.71
HTTP Data Sent (KB),161.84,88.56,332.13,1657206.54,93.45,102.08,109.18,127.94,157.72,190.27,220.15,239.24,268.44,42.24
HTTP DNS Lookup (ms),0.00,0.00,1.89,37.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08
HTTP Duration (excl. conn) (ms),2107.35,99.34,48024.24,21579215.07,129.50,168.65,222.78,358.90,687.83,1952.01,5162.02,9160.14,21013.67,3929.84
HTTP Receiving (ms),2009.04,31.26,47889.63,20572532.93,56.75,83.79,132.31,263.09,585.58,1854.27,5064.72,9068.58,20886.07,3927.13
HTTP Sending (ms),0.20,0.09,3.15,2010.02,0.13,0.14,0.14,0.15,0.18,0.21,0.24,0.26,0.46,0.14
HTTP Total Time (ms),2107.36,99.34,48024.24,21579320.98,129.50,168.65,222.78,358.90,687.83,1952.01,5162.02,9160.14,21013.67,3929.83
HTTP Waiting (TTFB) (ms),98.11,35.41,382.91,1004672.12,46.82,55.81,63.01,72.87,87.39,109.55,145.54,178.64,257.82,40.85
Input Sequence Length (tokens),37086.16,20299.00,76052.00,379762279.00,21430.00,23369.80,25012.60,29287.25,36122.00,43626.50,50497.30,54933.35,61596.25,9703.32
Inter Chunk Latency (ms),8.97,0.00,318.86,20571324.75,0.62,2.45,2.83,4.04,7.91,10.91,14.16,16.79,50.14,9.65
Inter Token Latency (ms),8.44,1.08,31.45,86401.83,1.94,2.51,3.00,4.79,8.21,11.36,14.22,15.90,19.29,4.27
OSL Mismatch Diff % (%),-0.70,-71.14,3.33,-7180.36,-8.84,-4.02,-2.31,0.00,0.00,0.00,0.00,0.00,0.00,2.43
Output Sequence Length (tokens),229.56,20.00,2973.00,2350708.00,30.00,30.00,30.00,30.00,78.00,231.00,598.00,1011.05,2088.61,387.12
Output Token Count (tokens),229.56,20.00,2973.00,2350708.00,30.00,30.00,30.00,30.00,78.00,231.00,598.00,1011.05,2088.61,387.12
Output Token Throughput Per User (tokens/sec/user),164.68,31.79,928.00,1686350.69,51.83,62.88,70.31,88.06,121.86,208.76,333.86,397.62,515.01,109.12
Prefill Throughput Per User (tokens/sec/user),408158.60,58769.10,807915.38,4179544030.06,143349.36,204191.14,249784.86,331975.52,407988.54,483909.39,563462.34,607587.68,683725.22,118359.36
Request Latency (ms),2107.35,99.41,48024.33,21579309.89,129.60,168.78,222.91,359.03,687.90,1952.08,5162.10,9160.20,21013.36,3929.73
Time to First Output Token (ms),98.44,35.64,383.14,1007985.14,47.14,56.08,63.28,73.14,87.71,109.92,145.82,178.90,258.06,40.86
Time to First Token (ms),98.44,35.64,383.14,1007985.14,47.14,56.08,63.28,73.14,87.71,109.92,145.82,178.90,258.06,40.86
Time to Second Token (ms),1.84,0.00,198.40,18798.86,0.24,0.40,0.46,0.57,0.72,0.98,1.76,3.53,27.43,6.48

Metric,Value
Benchmark Duration (sec),564.87
OSL Mismatch Count,467.00
Output Token Throughput (tokens/sec),4161.52
Request Count,10240.00
Request Throughput (requests/sec),18.13
Total Input Sequence Length (tokens),379762279.00
Total Output Sequence Length (tokens),2350708.00
Total Output Tokens (tokens),2350708.00
Total Token Throughput (tokens/sec),676464.78


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost:9400,3,NVIDIA H100 80GB HBM3,GPU-7ee7700a-8bb5-092f-e154-315e1c84c579,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
localhost:9400,3,NVIDIA H100 80GB HBM3,GPU-7ee7700a-8bb5-092f-e154-315e1c84c579,XID Errors (count),0.00,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,GPU Power Usage (W),423.03,177.51,514.03,8037.53,205.06,315.26,361.51,402.48,431.41,469.04,484.53,488.22,508.87,74.10,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,Energy Consumption (MJ),0.23,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,GPU Utilization (%),90.00,0.00,100.00,1710.00,9.36,46.80,73.60,94.00,100.00,100.00,100.00,100.00,100.00,24.70,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,GPU Memory Used (GB),81.96,81.96,81.96,1557.30,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,0.00,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,GPU Temperature (°C),59.11,42.00,66.00,1123.00,43.08,47.40,52.00,57.00,60.00,63.00,65.00,65.10,65.82,6.14,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,Memory Utilization (%),38.89,0.00,56.00,739.00,2.70,13.50,24.60,33.50,39.00,49.50,54.20,55.10,55.82,14.23,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,SM Utilization (%),44.12,1.53,52.31,838.23,5.70,22.35,35.73,44.90,48.56,50.40,51.29,52.21,52.29,12.13,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ip-10-0-143-121
localhost:9400,4,NVIDIA H100 80GB HBM3,GPU-074ff140-9e14-2060-3ddb-11f4cdb277df,XID Errors (count),0.00,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,5,NVIDIA H100 80GB HBM3,GPU-df6553a5-2554-3041-0a33-b4935a2d5525,GPU Power Usage (W),397.08,190.18,468.54,7544.49,214.01,309.33,346.40,377.82,409.95,438.86,455.61,461.88,467.21,63.75,ip-10-0-143-121
localhost:9400,5,NVIDIA H100 80GB HBM3,GPU-df6553a5-2554-3041-0a33-b4935a2d5525,Energy Consumption (MJ),0.22,,,,,,,,,,,,,,ip-10-0-143-121
localhost:9400,5,NVIDIA H100 80GB HBM3,GPU-df6553a5-2554-3041-0a33-b4935a2d5525,GPU Utilization (%),97.11,54.00,100.00,1845.00,61.02,89.10,97.00,100.00,100.00,100.00,100.00,100.00,100.00,10.57,ip-10-0-143-121
localhost:9400,5,NVIDIA H100 80GB HBM3,GPU-df6553a5-2554-3041-0a33-b4935a2d5525,GPU Memory Used (GB),81.96,81.96,81.96,1557.30,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,81.96,0.00,ip-10-0-143-121
localhost:9400,5,NVIDIA H100 80GB HBM3,GPU-df6553a5-2554-3041-0a33-b4935a2d5525,GPU Temperature (°C),49.68,32.00,56.00,944.00,33.80,41.00,44.40,48.00,52.00,53.00,53.20,54.20,55.64,5.54,ip-10-0-143-121
localhost:9400,5,NVIDIA H100 80GB HBM3,GPU-df6553a5-2554-3041-0a33-b4935a2d5525,Memory Utilization (%),41.26,23.00,55.00,784.00,23.36,24.80,26.60,38.00,42.00,49.00,50.80,54.10,54.82,9.25,ip-10-0-143-121
